beer_id,beer_name,mash_type,brewer,batch_size,boil_size,efficiency
citripa,[u'Citripa'],[u'All Grain'],[u'Marcel Woodman'],[u'20.81976479'],[u'23.658823625'],[u'75.0']
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'All Grain'],[u'mattc'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
honey-citra-pale,[u'Honey Citra Pale'],[u'All Grain'],[u'steeleybran'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
german-pilsner-8,[u'German Pilsner'],[u'All Grain'],[u'youngdongbruce'],[u'24.983717748'],[u'31.229647185'],[u'75.0']
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Partial Mash'],[u'Craig'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
spruce-juice-pale-ale,[u'Spruce Juice Pale Ale '],[u'All Grain'],[u'SEATTLEBREWING'],[u'37.8541178'],[u'45.42494136'],[u'75.0']
ipa-938,[u'IPA'],[u'Extract'],[u'rimstad'],[u'20.0'],[u'6.336'],[u'75.0']
blondage,[u'Blondage'],[u'All Grain'],[u'ELBong'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
winter-ipa-28,[u'Winter IPA'],[u'All Grain'],[u'John Hubbs'],[u'18.9270589'],[u'20.81976479'],[u'75.0']
ashleighs-knock-you-on-your-ass-beer,"[u""Ashleigh's Knock You on Your Ass Beer""]",[u'All Grain'],[u'cpeumr'],[u'18.9270589'],[u'20.81976479'],[u'75.0']
winter-warmer-ale-2013,[u'Winter warmer ale 2013'],[u'All Grain'],[u'joshrau'],[u'18.9270589'],[u'20.81976479'],[u'75.0']
shattered-wings-caa4b4,[u'Shattered Wings'],[u'All Grain'],[u'tsvercauteren'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
jamils-amber-red-ale,[u'Jamils Amber-Red Ale'],[u'All Grain'],[u'jag'],[u'22.71247068'],[u'28.39058835'],[u'75.0']
all-brett-pale-f6d4e8,[u'All Brett Pale'],[u'All Grain'],[u'drunkulushomunculus'],[u'41.63952958'],[u'44.478588415'],[u'70.0']
trappist-meditation,[u'Trappist Meditation'],[u'Partial Mash'],[u'PerryS'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
zombie-dust-clone-1-gallon,[u'Zombie Dust Clone - 1 Gallon'],[u'All Grain'],[u'justintcoons'],[u'3.78541178'],[u'4.542494136'],[u'65.0']
my-orval,[u'My Orval'],[u'All Grain'],[u'Marcd'],[u'26.49788246'],[u'33.122353075'],[u'70.0']
toasted-oat-ale,[u'Toasted Oat Ale'],[u'All Grain'],[u'Adam C'],[u'18.9270589'],[u'18.9270589'],[u'68.0']
generic-wheat-to-split,[u'Generic Wheat to Split'],[u'Extract'],[u'dainty'],[u'18.9270589'],[u'18.9270589'],[u'75.0']
lumberjack-candy,[u'Lumberjack Candy'],[u'All Grain'],[u'Walker Richardson'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
chili-willi,[u'Chili Willi'],[u'All Grain'],[u'Zack Kinney'],[u'28.39058835'],[u'36.642786030399996'],[u'75.0']
mvp-millers-vanilla-porter,"[u""MVP (Miller's Vanilla Porter)""]",[u'Extract'],[u'erm1963'],[u'18.9270589'],[u'9.46352945'],[u'75.0']
fall-jogger,[u'Fall Jogger'],[u'All Grain'],[u'Jeremy Norton'],[u'20.81976479'],[u'26.876423638'],[u'75.0']
highlander-ale,[u'Highlander Ale'],[u'All Grain'],[u'Bry723'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
irish-stout-2-8,[u'Irish Stout 2/8'],[u'All Grain'],[u'HoptronPat'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
double-b-wit,[u'Double B Wit'],[u'Extract'],[u'DagTheGoat'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
american-amber-12,[u'American Amber'],[u'All Grain'],[u'kbarron'],[u'18.9270589'],[u'23.658823625'],[u'69.0']
amadan-wee-heavy-scotch-ale,[u'Amadan Wee Heavy Scotch Ale'],[u'All Grain'],[u'Paul'],[u'22.71247068'],[u'37.8541178'],[u'80.0']
black-sour-1,[u'Black Sour'],[u'All Grain'],[u'AlexFields'],[u'25.740800103999998'],[u'30.8889601248'],[u'75.0']
little-rascal-esb,[u'Little Rascal ESB'],[u'All Grain'],[u'TomKontra'],[u'19.5'],[u'6.52333333333333'],[u'70.0']
irish-dry-stout-6,[u'Irish Dry Stout'],[u'All Grain'],[u'moork'],[u'13.211087112200001'],[u'16.5801035964'],[u'82.0']
tongue-tickler-pilsner,[u'Tongue Tickler Pilsner'],[u'All Grain'],[u'Philippe Leblanc'],[u'20.781910672200002'],[u'26.0436330464'],[u'75.0']
blue-moon-clone-ii,[u'Blue Moon Clone II'],[u'All Grain'],[u'randrick'],[u'45.3870872422'],[u'64.8819579092'],[u'75.0']
jamils-oatmeal-stout,"[u""Jamil's Oatmeal Stout""]",[u'All Grain'],[u'Belmont'],[u'22.71247068'],[u'28.39058835'],[u'70.0']
coffee-porter-21,[u'Coffee Porter'],[u'All Grain'],[u'Bryan Reed'],[u'22.71247068'],[u'28.39058835'],[u'75.0']
amarillo-pale-ale-midwest,[u'Amarillo Pale Ale (Midwest)'],[u'Partial Mash'],[u'bmartin13'],[u'18.9270589'],[u'17.753581248200003'],[u'75.0']
bs-pils,"[u""B's Pils""]",[u'All Grain'],[u'NVZ'],[u'18.9270589'],[u'27.0278401092'],[u'75.0']
spanish-moon-brown-porter,[u'Spanish Moon Brown Porter'],[u'All Grain'],[u'Mark Atkinson'],[u'22.71247068'],[u'28.39058835'],[u'75.0']
raw-amber-ale,[u'Raw Amber Ale'],[u'All Grain'],[u'rawlk'],[u'94.6352945'],[u'109.77694162'],[u'80.0']
sierra-nevada-torpedo-clone-1,[u'Sierra Nevada Torpedo Clone'],[u'All Grain'],[u'Matt Arens'],[u'20.781910672200002'],[u'29.7533365908'],[u'75.0']
jamils-weizenbock-3,"[u""Jamil's Weizenbock""]",[u'All Grain'],[u'Ken Franke'],[u'22.71247068'],[u'28.39058835'],[u'70.0']
2012-summer-apricot-ale,[u'2012 Summer Apricot Ale'],[u'Extract'],[u'monk'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
brother-hogans-dubbel,"[u""Brother Hogan's Dubbel""]",[u'Partial Mash'],[u'smithj2154'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
patersbier-nb-all-grain,[u'Patersbier (NB All Grain)'],[u'All Grain'],[u'jgabbott'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
mad-russian-wedding,[u'Mad Russian Wedding'],[u'Partial Mash'],[u'hartmaier'],[u'20.781910672200002'],[u'26.0436330464'],[u'75.0']
helles-bock-3,[u'Helles Bock'],[u'All Grain'],[u'Patrick Kafka'],[u'22.71247068'],[u'32.4409789546'],[u'70.0']
sierra-nevada-pale-ale-clone-all-grain-47ac65,[u'Sierra Nevada Pale Ale Clone (All Grain)'],[u'All Grain'],[u'Grillzbrewz'],[u'20.81976479'],[u'24.60517657'],[u'75.0']
otter-smash,[u'Otter Smash'],[u'All Grain'],[u'hilobird'],[u'13.24894123'],[u'16.5801035964'],[u'75.0']
revvys-blonde-leffe-clone,"[u""Revvy's Blonde (Leffe Clone)""]",[u'All Grain'],[u'revvy'],[u'18.9270589'],[u'27.0278401092'],[u'75.0']
goldings-bitter-1,[u'Goldings Bitter'],[u'All Grain'],[u'Kevin'],[u'20.81976479'],[u'26.0436330464'],[u'78.0']
western-front-belgian-pale-ale,[u'Western Front Belgian Pale Ale'],[u'Partial Mash'],[u'Boiled Hippo'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
irish-red-ale-mw,[u'Irish Red Ale (MW)'],[u'Partial Mash'],[u'Patrick Cowan'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
maple-hazelnut,[u'Maple Hazelnut'],[u'Partial Mash'],[u'jgoran'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
sauer-stout,[u'Sauer Stout'],[u'All Grain'],[u'Ryan Cowen'],[u'18.9270589'],[u'27.0278401092'],[u'75.0']
high-five-esb-3,[u'High Five ESB 3'],[u'Partial Mash'],[u'TheBeesKnees'],[u'18.9270589'],[u'23.658823625'],[u'40.0']
summit-epa,[u'Summit EPA'],[u'All Grain'],[u'Drocnoc'],[u'20.81976479'],[u'22.71247068'],[u'75.0']
warm-fuzzy-tinkle-times-v2,[u'Warm Fuzzy Tinkle Times v2'],[u'All Grain'],[u'Two Akers Brewing'],[u'18.9270589'],[u'21.766117735'],[u'80.0']
centennial-ipa-75,[u'Centennial IPA'],[u'Partial Mash'],[u'dgh892000'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
liz-and-brads-red-head-belgian-dubbel,"[u'Liz & Brad\'s ""Red-Head"" Belgian Dubbel']",[u'All Grain'],[u'John Hart'],[u'18.9270589'],[u'23.658823625'],[u'80.0']
amer-i-can-pa-extract,[u'Amer-I-Can PA - Extract'],[u'Extract'],[u'EvilTwin'],[u'18.9270589'],[u'11.35623534'],[u'75.0']
rykers-oaked-golden-ale,[u'Rykers Oaked Golden Ale'],[u'All Grain'],[u'Kyle J.'],[u'23.658823625'],[u'29.564066001799997'],[u'81.0']
safabblegobble,[u'Safabblegobble'],[u'All Grain'],[u'sintheta'],[u'20.0'],[u'24.98'],[u'80.0']
kirbier-hell-or-high-watermelon-clone,[u'Kirbier Hell or High Watermelon Clone'],[u'All Grain'],[u'Jon N'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
vacation-ale-2,[u'Vacation Ale'],[u'Partial Mash'],[u'theReserve'],[u'18.9270589'],[u'23.658823625'],[u'37.5']
double-decker-english-barleywine,[u'Double Decker English Barleywine'],[u'All Grain'],[u'alexb'],[u'18.9270589'],[u'27.0278401092'],[u'70.0']
schlafly-dry-hopped-apa-clone,[u'Schlafly Dry-Hopped APA Clone'],[u'Partial Mash'],[u'datvdb'],[u'20.81976479'],[u'22.6935436211'],[u'70.0']
amarillo-smash-10,[u'Amarillo sMasH'],[u'All Grain'],[u'BlackRock'],[u'20.81976479'],[u'26.0436330464'],[u'72.0']
firestone-dba-clone,[u'Firestone DBA Clone'],[u'All Grain'],[u'corytownsend'],[u'18.9270589'],[u'23.658823625'],[u'70.0']
stargazer-dark-ale,[u'Stargazer Dark Ale'],[u'All Grain'],[u'Haugland'],[u'19.873411845'],[u'24.8323012768'],[u'70.0']
plastered-padre-wy3522-belgian-ardennes-version-alt,[u'Plastered Padre (WY3522 Belgian Ardennes version) [alt]'],[u'All Grain'],[u'JLP'],[u'20.781910672200002'],[u'29.7533365908'],[u'75.0']
