beer_id,beer_name,mash_type,brewer,batch_size,boil_size,efficiency
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'All Grain'],[u'mattc'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
citripa,[u'Citripa'],[u'All Grain'],[u'Marcel Woodman'],[u'20.81976479'],[u'23.658823625'],[u'75.0']
janets-brown-ale-extract,"[u""Janet's Brown Ale (Extract)""]",[u'Partial Mash'],[u'Craig'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
snow-shovel-helles-2011-06-09-version,[u'Snow Shovel Helles (2011-06-09 version)'],[u'All Grain'],[u'Bill Jusino'],[u'22.71247068'],[u'34.06870602'],[u'75.0']
honey-citra-pale,[u'Honey Citra Pale'],[u'All Grain'],[u'steeleybran'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
fresh-hop-ipa-16,[u'Fresh Hop IPA'],[u'All Grain'],[u'Ken  Gurley'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
double-dawg-dare-ipa-v2,[u'Double Dawg Dare IPA V2'],[u'All Grain'],[u'SEATTLEBREWING'],[u'26.49788246'],[u'32.956741309625'],[u'76.0']
ommegang-abbey-ale,[u'Ommegang Abbey Ale'],[u'All Grain'],[u'mgo737'],[u'22.71247068'],[u'32.4409789546'],[u'84.0']
brett-saison-7,[u'Brett Saison'],[u'All Grain'],[u'J-Dub'],[u'18.9270589'],[u'20.81976479'],[u'74.0']
pumpkin-beer-27,[u'Pumpkin Beer'],[u'Extract'],[u'mswartz13'],[u'18.9270589'],[u'11.35623534'],[u'75.0']
northern-brewer-plinian-legacy-extract-and-specialty-grains-kit,[u'Northern Brewer Plinian Legacy (extract and specialty grains) kit'],[u'Extract'],[u'xaq'],[u'22.71247068'],[u'27.254964816'],[u'75.0']
toasted-oat-ale,[u'Toasted Oat Ale'],[u'All Grain'],[u'Adam C'],[u'18.9270589'],[u'18.9270589'],[u'68.0']
the-drowned-gourd,[u'The Drowned Gourd'],[u'Extract'],[u'pieman396'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
chili-willi,[u'Chili Willi'],[u'All Grain'],[u'Zack Kinney'],[u'28.39058835'],[u'36.642786030399996'],[u'75.0']
fatcat-brewery-chocolate-banana-oatmeal-stout,[u'FatCat Brewery Chocolate Banana Oatmeal Stout'],[u'All Grain'],[u'Andrew Le Blanc'],[u'23.0'],[u'6.688'],[u'75.0']
the-three-amigos-1,[u'The three amigos'],[u'Partial Mash'],[u'raiderrob67'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
shattered-wings-caa4b4,[u'Shattered Wings'],[u'All Grain'],[u'tsvercauteren'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
otto-ale-black-coffee-ipa,[u'Otto Ale Black Coffee IPA'],[u'Partial Mash'],[u'jamisonrk'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
hibernation-1,[u'Hibernation'],[u'Partial Mash'],[u'mcleanmj'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
two-hearted-ale,[u'Two Hearted Ale'],[u'All Grain'],[u'aplus01'],[u'20.81976479'],[u'26.0436330464'],[u'75.0']
all-brett-pale-f6d4e8,[u'All Brett Pale'],[u'All Grain'],[u'drunkulushomunculus'],[u'41.63952958'],[u'44.478588415'],[u'70.0']
arrogant-bastard-clone-42,[u'Arrogant Bastard Clone'],[u'Partial Mash'],[u'Brady Deal'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
honeybadger-red-ale-ag,[u'Honeybadger Red Ale AG'],[u'All Grain'],[u'RickFinsta'],[u'18.9270589'],[u'23.658823625'],[u'70.0']
bens-freshies-pale-ale,"[u""Ben's Freshies Pale Ale""]",[u'All Grain'],[u'Redant'],[u'20.0'],[u'6.336'],[u'80.0']
la-chouffe-clone-1,[u'la chouffe clone'],[u'All Grain'],[u'Brian Church'],[u'20.81976479'],[u'29.7533365908'],[u'70.0']
irish-red-ale-mw,[u'Irish Red Ale (MW)'],[u'Partial Mash'],[u'Patrick Cowan'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
fathers-day-ale-newcastle,"[u""Father's Day Ale (Newcastle)""]",[u'All Grain'],[u'Jeff K.'],[u'22.71247068'],[u'28.39058835'],[u'77.0']
rons-honey-wheat-1,"[u""Ron's Honey Wheat""]",[u'Extract'],[u'RonTheBrewer'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
stocktake-pilsner,[u'Stocktake Pilsner'],[u'All Grain'],[u'RagoutBrewingCo'],[u'40.0'],[u'50.0'],[u'75.0']
summer-citrus-pale-ale-1,[u'Summer Citrus Pale Ale'],[u'Partial Mash'],[u'seeley2'],[u'18.9270589'],[u'11.8483388714'],[u'75.0']
mad-russian-wedding,[u'Mad Russian Wedding'],[u'Partial Mash'],[u'hartmaier'],[u'20.781910672200002'],[u'26.0436330464'],[u'75.0']
highlander-ale,[u'Highlander Ale'],[u'All Grain'],[u'Bry723'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
mo-1210-smash-033993,[u'MO/1210 SMaSH'],[u'All Grain'],[u'Jeff Perry'],[u'20.81976479'],[u'27.254964816'],[u'75.0']
double-b-wit,[u'Double B Wit'],[u'Extract'],[u'DagTheGoat'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
ten-gallon-shandy-base,[u'Ten Gallon Shandy Base'],[u'All Grain'],[u'derpyslurp'],[u'37.8541178'],[u'45.42494136'],[u'75.0']
irish-stout-2-8,[u'Irish Stout 2/8'],[u'All Grain'],[u'HoptronPat'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
