beer_id,beer_name,name,origin,_type,_yield,amount,potential,color,add_after_boil,coarse_fine_diff,moisture,diastatic_power,protein,max_in_batch,recommend_mash,ibu_gal_per_lb,notes
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'American 2-Row'],[],[u'Base Malt'],[u'82.05571150939322'],[u'3.62873896'],[u'1.038'],[u'1'],[],[],[],[],[],[],[],[],[]
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'Munich Malt 10L'],[],[u'Kilned Malt'],[u'75.57762902180954'],[u'0.45359237'],[u'1.035'],[u'10'],[],[],[],[],[],[],[],[],[]
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'Caramel Malt 120L'],[],[u'Caramel/Crystal Malt'],[u'69.09954653422587'],[u'0.34019427750000003'],[u'1.032'],[u'120'],[],[],[],[],[],[],[],[],[]
big-bens-brown-ale,"[u""Big Ben's Brown Ale ""]",[u'Chocolate Malt'],[],[u'Roasted Malt'],[u'69.09954653422587'],[u'0.226796185'],[u'1.032'],[u'475'],[],[],[],[],[],[],[],[],[]
lemon-saison-1,[u'Lemon Saison'],[u'Pilsen Light LME'],[u'United States'],[u'Liquid Extract'],[u'79.89635068019865'],[u'1.5025229387465697'],[u'1.037'],[u'2'],[],[],[],[],[],[],[],[],[]
lemon-saison-1,[u'Lemon Saison'],[u'Pilsen Light DME'],[u'United States'],[u'Dry Extract'],[u'95.01187648456056'],[u'1.2190280446434414'],[u'1.044'],[u'2'],[],[],[],[],[],[],[],[],[]
lemon-saison-1,[u'Lemon Saison'],[u'Honey Malt'],[u'Canada'],[u'Caramel/Crystal Malt'],[u'79.89635068019865'],[u'0.45359183056500185'],[u'1.037'],[u'23'],[],[],[],[],[],[],[],[],[]
hefe-iv,[u'Hefe IV'],[u'American 2-Row'],[u'United States'],[u'Base Malt'],[u'82.05571150939322'],[u'2.4947580350000003'],[u'1.038'],[u'1'],[],[],[],[],[],[],[],[],[]
hefe-iv,[u'Hefe IV'],"[u'Wheat Malt, White']",[u'United States'],[u'Adjunct'],[u'84.21507233858777'],[u'1.81436948'],[u'1.039'],[u'2'],[],[],[],[],[],[],[],[],[]
hefe-iv,[u'Hefe IV'],[u'Vienna Malt'],[u'United States'],[u'Kilned Malt'],[u'75.57762902180954'],[u'0.226796185'],[u'1.035'],[u'3'],[],[],[],[],[],[],[],[],[]
hefe-iv,[u'Hefe IV'],[u'Carapils\xae\xa0Malt'],[u'United States'],[u'Adjunct'],[u'73.41826819261497'],[u'0.226796185'],[u'1.034'],[u'1'],[],[],[],[],[],[],[],[],[]
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Golden Light LME'],[u'United States'],[u'Liquid Extract'],[u'79.89635068019865'],[u'2.721550983390011'],[u'1.037'],[u'4'],[],[],[],[],[],[],[],[],[]
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'2-Row Caramel Malt 60L'],[u'United States'],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.45359183056500185'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Corn Sugar (Dextrose)'],[u'United States'],[u'Sugar'],[u'99.33059814294968'],[u'0.45359183056500185'],[u'1.046'],[u'0'],[],[],[],[],[],[],[],[],[]
citra-black-ipa-bc7279,[u'Citra Black IPA'],[u'Black Malt'],[u'United States'],[u'Roasted Malt'],[u'69.09954653422587'],[u'0.34019387292375136'],[u'1.032'],[u'500'],[],[],[],[],[],[],[],[],[]
nut-brown-ale-102,[u'Nut Brown Ale'],[u'Maris Otter'],[],[u'Base Malt'],[u'75.57762902180954'],[u'3.62873896'],[u'1.035'],[u'3'],[],[],[],[],[],[],[],[],[]
nut-brown-ale-102,[u'Nut Brown Ale'],"[u'Oats, Flaked']",[],[u'Adjunct'],[u'79.89635068019865'],[u'0.45359237'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
nut-brown-ale-102,[u'Nut Brown Ale'],[u'Victory\xae\xa0Malt'],[],[u'Kilned Malt'],[u'73.41826819261497'],[u'0.45359237'],[u'1.034'],[u'28'],[],[],[],[],[],[],[],[],[]
nut-brown-ale-102,[u'Nut Brown Ale'],[u'Caramel Malt 120L'],[],[u'Caramel/Crystal Malt'],[u'69.09954653422587'],[u'0.45359237'],[u'1.032'],[u'120'],[],[],[],[],[],[],[],[],[]
nut-brown-ale-102,[u'Nut Brown Ale'],[u'CARAFA\xae III'],[],[u'Caramel/Crystal Malt'],[u'69.09954653422587'],[u'0.1133980925'],[u'1.032'],[u'525'],[],[],[],[],[],[],[],[],[]
cascade-ipa-e15d96,[u'Cascade IPA'],[u'American 2-Row'],[u'United States'],[u'Base Malt'],[u'82.05571150939322'],[u'5.216312255'],[u'1.038'],[u'1'],[],[],[],[],[],[],[],[],[]
cascade-ipa-e15d96,[u'Cascade IPA'],[u'Caramel Malt 60L'],[u'United States'],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.226796185'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'6-Row Brewers Malt'],[u'United States'],[u'Base Malt'],[u'77.7369898510041'],[u'3.628734644520015'],[u'1.036'],[u'1'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Oat Flakes'],[u'United Kingdom'],[u'Adjunct'],[u'66.94018570503131'],[u'0.45359183056500185'],[u'1.031'],[u'1'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'American Chocolate'],[],[u'Roasted Malt'],[u'73.41826819261497'],[u'0.22679591528250093'],[u'1.034'],[u'127'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'CARAFA\xae II'],[u'Germany'],[u'Caramel/Crystal Malt'],[u'69.09954653422587'],[u'0.22679591528250093'],[u'1.032'],[u'431'],[],[],[],[],[],[],[],[],[]
oatmeal-chocolate-milk-stout-1,[u'Oatmeal Chocolate Milk Stout'],[u'Roast Barley'],[u'United Kingdom'],[u'Roasted Malt'],[u'64.78082487583676'],[u'0.22679591528250093'],[u'1.03'],[u'550'],[],[],[],[],[],[],[],[],[]
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'5.783302717500001'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Munich Malt 10L'],[],[u'Kilned Malt'],[u'75.57762902180954'],[u'0.5669904625000001'],[u'1.035'],[u'10'],[],[],[],[],[],[],[],[],[]
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'CARAPILS\xae'],[],[u'Adjunct'],[u'71.25890736342042'],[u'0.226796185'],[u'1.033'],[u'1'],[],[],[],[],[],[],[],[],[]
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Melanoidin Malt'],[],[u'Kilned Malt'],[u'79.89635068019865'],[u'0.226796185'],[u'1.037'],[u'26'],[],[],[],[],[],[],[],[],[]
3-floyds-zombie-dust-clone,"[u""3 Floyd's Zombie Dust Clone""]",[u'Caramel Malt 60L'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.226796185'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
honey-citra-pale,[u'Honey Citra Pale'],[u'Maris Otter Pale (UK)'],[],[u'Base Malt'],[u'82.05571150939322'],[u'3.17514659'],[u'1.038'],[u'3'],[],[],[],[],[],[],[],[],[]
honey-citra-pale,[u'Honey Citra Pale'],[u'Bonlander Munich (US)'],[],[u'Kilned Malt'],[u'77.7369898510041'],[u'0.226796185'],[u'1.036'],[u'10'],[],[],[],[],[],[],[],[],[]
